cohort,model,capacity,patients,positives,selected,captured,recall,precision,lift,ap
9101,candidate,0.05,568,69,29,19,0.2753623188405797,0.6551724137931034,5.393303348325837,0.500025142348154
9101,candidate,0.1,568,69,57,29,0.42028985507246375,0.5087719298245614,4.188151538265955,0.500025142348154
9101,candidate,0.2,568,69,114,36,0.5217391304347826,0.3157894736842105,2.5995423340961095,0.500025142348154
9101,original_lightgbm,0.05,568,69,29,17,0.2463768115942029,0.5862068965517241,4.825587206396801,0.4646791419811904
9101,original_lightgbm,0.1,568,69,57,28,0.4057971014492754,0.49122807017543857,4.04373251970506,0.4646791419811904
9101,original_lightgbm,0.2,568,69,114,40,0.5797101449275363,0.3508771929824561,2.8883803712178997,0.4646791419811904
9101,original_logistic,0.05,568,69,29,19,0.2753623188405797,0.6551724137931034,5.393303348325837,0.5042457742012114
9101,original_logistic,0.1,568,69,57,29,0.42028985507246375,0.5087719298245614,4.188151538265955,0.5042457742012114
9101,original_logistic,0.2,568,69,114,39,0.5652173913043478,0.34210526315789475,2.816170861937452,0.5042457742012114
9101,previous_neural,0.05,568,69,29,21,0.30434782608695654,0.7241379310344828,5.9610194902548725,0.5127897030861491
9101,previous_neural,0.1,568,69,57,29,0.42028985507246375,0.5087719298245614,4.188151538265955,0.5127897030861491
9101,previous_neural,0.2,568,69,114,39,0.5652173913043478,0.34210526315789475,2.816170861937452,0.5127897030861491
9101,tuned_classical,0.05,568,69,29,21,0.30434782608695654,0.7241379310344828,5.9610194902548725,0.5013231486617268
9101,tuned_classical,0.1,568,69,57,29,0.42028985507246375,0.5087719298245614,4.188151538265955,0.5013231486617268
9101,tuned_classical,0.2,568,69,114,40,0.5797101449275363,0.3508771929824561,2.8883803712178997,0.5013231486617268
9101,best_ehr,0.05,568,69,29,20,0.2898550724637681,0.6896551724137931,5.677161419290355,0.5168985298388759
9101,best_ehr,0.1,568,69,57,29,0.42028985507246375,0.5087719298245614,4.188151538265955,0.5168985298388759
9101,best_ehr,0.2,568,69,114,41,0.5942028985507246,0.35964912280701755,2.9605898804983473,0.5168985298388759
9102,candidate,0.05,550,56,28,18,0.32142857142857145,0.6428571428571429,6.313775510204082,0.5522300509400847
9102,candidate,0.1,550,56,55,31,0.5535714285714286,0.5636363636363636,5.535714285714286,0.5522300509400847
9102,candidate,0.2,550,56,110,37,0.6607142857142857,0.33636363636363636,3.3035714285714284,0.5522300509400847
9102,original_lightgbm,0.05,550,56,28,20,0.35714285714285715,0.7142857142857143,7.01530612244898,0.481961924492581
9102,original_lightgbm,0.1,550,56,55,29,0.5178571428571429,0.5272727272727272,5.178571428571428,0.481961924492581
9102,original_lightgbm,0.2,550,56,110,38,0.6785714285714286,0.34545454545454546,3.392857142857143,0.481961924492581
9102,original_logistic,0.05,550,56,28,17,0.30357142857142855,0.6071428571428571,5.963010204081632,0.48098701332436167
9102,original_logistic,0.1,550,56,55,25,0.44642857142857145,0.45454545454545453,4.464285714285714,0.48098701332436167
9102,original_logistic,0.2,550,56,110,33,0.5892857142857143,0.3,2.946428571428571,0.48098701332436167
9102,previous_neural,0.05,550,56,28,16,0.2857142857142857,0.5714285714285714,5.612244897959183,0.533759255052918
9102,previous_neural,0.1,550,56,55,29,0.5178571428571429,0.5272727272727272,5.178571428571428,0.533759255052918
9102,previous_neural,0.2,550,56,110,38,0.6785714285714286,0.34545454545454546,3.392857142857143,0.533759255052918
9102,tuned_classical,0.05,550,56,28,20,0.35714285714285715,0.7142857142857143,7.01530612244898,0.5504095005285324
9102,tuned_classical,0.1,550,56,55,30,0.5357142857142857,0.5454545454545454,5.357142857142857,0.5504095005285324
9102,tuned_classical,0.2,550,56,110,36,0.6428571428571429,0.32727272727272727,3.214285714285714,0.5504095005285324
9102,best_ehr,0.05,550,56,28,19,0.3392857142857143,0.6785714285714286,6.6645408163265305,0.5441917591529608
9102,best_ehr,0.1,550,56,55,28,0.5,0.509090909090909,4.999999999999999,0.5441917591529608
9102,best_ehr,0.2,550,56,110,37,0.6607142857142857,0.33636363636363636,3.3035714285714284,0.5441917591529608
9103,candidate,0.05,562,69,29,20,0.2898550724637681,0.6896551724137931,5.617191404297852,0.46304274849119154
9103,candidate,0.1,562,69,57,29,0.42028985507246375,0.5087719298245614,4.143910500889906,0.46304274849119154
9103,candidate,0.2,562,69,113,35,0.5072463768115942,0.30973451327433627,2.5227651660895214,0.46304274849119154
9103,original_lightgbm,0.05,562,69,29,18,0.2608695652173913,0.6206896551724138,5.055472263868066,0.43585915978125667
9103,original_lightgbm,0.1,562,69,57,31,0.4492753623188406,0.543859649122807,4.429697431985762,0.43585915978125667
9103,original_lightgbm,0.2,562,69,113,41,0.5942028985507246,0.36283185840707965,2.955239194562011,0.43585915978125667
9103,original_logistic,0.05,562,69,29,20,0.2898550724637681,0.6896551724137931,5.617191404297852,0.461179248989733
9103,original_logistic,0.1,562,69,57,26,0.37681159420289856,0.45614035087719296,3.7152301042461224,0.461179248989733
9103,original_logistic,0.2,562,69,113,36,0.5217391304347826,0.3185840707964602,2.5948441708349366,0.461179248989733
9103,previous_neural,0.05,562,69,29,19,0.2753623188405797,0.6551724137931034,5.336331834082959,0.47964899048595305
9103,previous_neural,0.1,562,69,57,29,0.42028985507246375,0.5087719298245614,4.143910500889906,0.47964899048595305
9103,previous_neural,0.2,562,69,113,40,0.5797101449275363,0.35398230088495575,2.8831601898165964,0.47964899048595305
9103,tuned_classical,0.05,562,69,29,19,0.2753623188405797,0.6551724137931034,5.336331834082959,0.48176535302395285
9103,tuned_classical,0.1,562,69,57,28,0.4057971014492754,0.49122807017543857,4.001017035341978,0.48176535302395285
9103,tuned_classical,0.2,562,69,113,39,0.5652173913043478,0.34513274336283184,2.811081185071181,0.48176535302395285
9103,best_ehr,0.05,562,69,29,16,0.2318840579710145,0.5517241379310345,4.493753123438281,0.43820241273049265
9103,best_ehr,0.1,562,69,57,25,0.36231884057971014,0.43859649122807015,3.5723366386981947,0.43820241273049265
9103,best_ehr,0.2,562,69,113,41,0.5942028985507246,0.36283185840707965,2.955239194562011,0.43820241273049265
9104,candidate,0.05,589,70,30,15,0.21428571428571427,0.5,4.207142857142857,0.4082340079207818
9104,candidate,0.1,589,70,59,25,0.35714285714285715,0.423728813559322,3.5653753026634383,0.4082340079207818
9104,candidate,0.2,589,70,118,39,0.5571428571428572,0.3305084745762712,2.780992736077482,0.4082340079207818
9104,original_lightgbm,0.05,589,70,30,13,0.18571428571428572,0.43333333333333335,3.646190476190476,0.34924328212508865
9104,original_lightgbm,0.1,589,70,59,23,0.32857142857142857,0.3898305084745763,3.2801452784503633,0.34924328212508865
9104,original_lightgbm,0.2,589,70,118,37,0.5285714285714286,0.3135593220338983,2.6383777239709443,0.34924328212508865
