data_origin,metric,classical_model,deep_learning_model,classical_estimate,deep_learning_estimate,difference_dl_minus_classical,ci_lower,ci_upper,confidence_level,statistically_significant,successful_samples,requested_samples,sampling_unit,multiplicity_adjusted
synthetic,PR-AUC,LightGBM,Logistic Regression,0.4480833078553856,0.4146218466752646,-0.033461461180121,-0.0951538798623189,0.0223749541115033,0.95,False,500,500,patient_cluster,False
synthetic,TruePositives@Top10%,LightGBM,Logistic Regression,63.0,60.0,-3.0,-11.0,5.0,0.95,False,500,500,patient_cluster,False
synthetic,PR-AUC,LightGBM,MLP,0.4480833078553856,0.4315392476221846,-0.0165440602332009,-0.0646749630810254,0.0337645150335324,0.95,False,500,500,patient_cluster,False
synthetic,TruePositives@Top10%,LightGBM,MLP,63.0,60.0,-3.0,-11.0,5.0,0.95,False,500,500,patient_cluster,False
synthetic,PR-AUC,LightGBM,GRU,0.4480833078553856,0.3138632740831116,-0.1342200337722739,-0.1903145143092535,-0.0666221038996797,0.95,True,500,500,patient_cluster,False
synthetic,TruePositives@Top10%,LightGBM,GRU,63.0,59.0,-4.0,-15.0,3.0,0.95,False,500,500,patient_cluster,False
synthetic,PR-AUC,LightGBM,Transformer,0.4480833078553856,0.3551799688231361,-0.0929033390322494,-0.1423790307723986,-0.0390708826108994,0.95,True,500,500,patient_cluster,False
synthetic,TruePositives@Top10%,LightGBM,Transformer,63.0,61.0,-2.0,-13.0,5.524999999999977,0.95,False,500,500,patient_cluster,False
synthetic,PR-AUC,LightGBM,Hybrid GRU Wide,0.4480833078553856,0.4126430044933358,-0.0354403033620497,-0.0859893664165246,0.0137857535716334,0.95,False,500,500,patient_cluster,False
synthetic,TruePositives@Top10%,LightGBM,Hybrid GRU Wide,63.0,65.0,2.0,-5.0,7.524999999999977,0.95,False,500,500,patient_cluster,False
synthetic,PR-AUC,LightGBM,LightGBM Without Recency,0.4480833078553856,0.3518619142690827,-0.0962213935863028,-0.1490612444525161,-0.040655315080104,0.95,True,500,500,patient_cluster,False
synthetic,TruePositives@Top10%,LightGBM,LightGBM Without Recency,63.0,53.0,-10.0,-19.52499999999999,-1.0,0.95,True,500,500,patient_cluster,False
synthetic,PR-AUC,LightGBM,GRU Without Time,0.4480833078553856,0.3112533878206971,-0.1368299200346884,-0.1939572308127382,-0.0699738917124667,0.95,True,500,500,patient_cluster,False
synthetic,TruePositives@Top10%,LightGBM,GRU Without Time,63.0,56.0,-7.0,-16.0,2.0,0.95,False,500,500,patient_cluster,False
synthetic,PR-AUC,LightGBM,GRU Shuffled Without Time,0.4480833078553856,0.2992679642929927,-0.1488153435623928,-0.201132644065378,-0.0833064879725291,0.95,True,500,500,patient_cluster,False
synthetic,TruePositives@Top10%,LightGBM,GRU Shuffled Without Time,63.0,57.0,-6.0,-16.52499999999999,2.0,0.95,False,500,500,patient_cluster,False
